CASEID_1979,CPUBID1,CPUBID2,CPUBID3,CPUBID4,CPUBID5,CPUBID6
801,48639,86351,86398,NA,NA,NA
803,19602,30484,61278,87865,55330,88469
804,14924,10913,NA,NA,NA,NA
805,36665,NA,NA,NA,NA,NA
810,13842,NA,NA,NA,NA,NA
811,50762,NA,NA,NA,NA,NA
812,37625,24737,98473,35445,NA,NA
814,64934,35412,NA,NA,NA,NA
816,54637,36286,NA,NA,NA,NA
820,81731,NA,NA,NA,NA,NA
824,44687,NA,NA,NA,NA,NA
828,90790,93175,NA,NA,NA,NA
829,13372,82705,NA,NA,NA,NA
830,25519,NA,NA,NA,NA,NA
831,53814,36055,23218,55090,NA,NA
834,79971,66312,62032,NA,NA,NA
835,63044,95189,NA,NA,NA,NA
836,18691,47714,22375,NA,NA,NA
839,32442,NA,NA,NA,NA,NA
840,10122,75655,NA,NA,NA,NA
841,53602,77521,NA,NA,NA,NA
842,27015,NA,NA,NA,NA,NA
843,66937,NA,NA,NA,NA,NA
845,22510,73978,79919,NA,NA,NA
848,25452,NA,NA,NA,NA,NA
852,44968,NA,NA,NA,NA,NA
854,19112,29484,41733,15746,NA,NA
855,74558,72842,NA,NA,NA,NA
856,49884,27649,48143,NA,NA,NA
862,74097,26230,NA,NA,NA,NA
866,46766,89120,24173,NA,NA,NA
867,83890,NA,NA,NA,NA,NA
869,12606,56118,NA,NA,NA,NA
875,38986,NA,NA,NA,NA,NA
876,89773,40310,97875,11977,NA,NA
879,53011,94264,NA,NA,NA,NA
880,41309,65783,38262,NA,NA,NA
886,50267,45529,NA,NA,NA,NA
887,27929,86972,NA,NA,NA,NA
889,36956,88482,NA,NA,NA,NA
893,51607,87711,88951,NA,NA,NA
894,28424,88625,45858,NA,NA,NA
895,12019,75577,NA,NA,NA,NA
896,15045,90768,NA,NA,NA,NA
898,64173,75457,95186,NA,NA,NA
900,94243,14778,14548,20582,NA,NA
904,67641,NA,NA,NA,NA,NA
906,72346,31174,22370,NA,NA,NA
912,62501,60004,NA,NA,NA,NA
914,94912,24901,NA,NA,NA,NA
918,49266,NA,NA,NA,NA,NA
923,29527,81635,12748,NA,NA,NA
928,69807,53827,NA,NA,NA,NA
930,75781,80635,28714,26389,NA,NA
932,53448,93567,67509,NA,NA,NA
935,68675,17820,44873,NA,NA,NA
936,19725,87168,15139,NA,NA,NA
939,27120,29989,14154,25023,NA,NA
940,21591,32261,NA,NA,NA,NA
942,75040,78513,NA,NA,NA,NA
949,16958,99981,NA,NA,NA,NA
950,59608,NA,NA,NA,NA,NA
952,11019,NA,NA,NA,NA,NA
953,89757,54474,NA,NA,NA,NA
954,84535,90158,NA,NA,NA,NA
962,80139,98213,20531,NA,NA,NA
964,37701,NA,NA,NA,NA,NA
