CPUBID,CSEX,CMOB,CYRB
58412,2,8,1992
45284,2,5,1994
94550,1,4,1998
21341,2,8,1988
78057,2,8,1992
90492,1,6,1986
47771,1,6,1979
68252,1,6,1980
27254,2,1,1983
26665,1,5,1989
57863,1,11,1991
29245,2,9,1979
15809,2,8,1981
47194,1,8,1989
73258,1,9,1993
50171,2,4,1980
62965,2,4,1998
56732,2,4,1978
15004,1,6,1979
79008,1,10,1981
47530,1,8,1983
31571,1,2,1973
78742,1,8,1975
27690,1,9,1983
78010,1,9,1990
82819,1,2,1993
42972,1,4,1995
52433,1,9,1986
58142,1,12,1990
10029,2,8,1993
14533,1,9,1983
54431,2,7,1986
72091,2,3,1978
60750,1,5,1982
46047,1,6,1983
27778,1,11,1988
32287,1,12,1977
50635,2,12,1980
70201,1,2,1991
17579,2,12,1975
74374,2,7,1978
61233,2,3,1980
62577,1,10,1982
69283,2,12,1985
37109,2,9,1988
58678,2,1,1987
36669,1,8,1989
12003,2,4,1994
74932,2,7,1989
80892,1,12,1996
72411,2,12,2004
67943,2,12,1979
28769,2,5,1983
46408,2,8,1976
88405,2,12,1979
81407,1,12,1989
17983,2,12,1990
94087,2,3,1978
76593,2,12,1980
84173,1,6,1987
97607,1,10,1984
41284,1,11,1987
98030,1,5,1990
65738,1,8,1979
36652,2,7,1982
47963,2,12,1985
87557,1,8,1989
95036,2,2,1988
36732,1,4,1989
35506,2,11,1994
91037,1,5,1984
13342,1,4,1992
10275,1,10,1994
82477,2,12,1987
11037,2,9,1989
19622,1,6,1992
91408,2,12,1996
50464,1,8,1999
35305,2,2,1988
38645,1,1,1990
47561,2,8,1993
83927,1,8,1989
82088,2,8,1991
94220,2,4,1988
52307,2,6,1993
65696,2,10,1999
44830,2,6,2001
88628,2,11,1983
29729,1,2,1988
12218,2,1,1990
94269,1,5,1992
80968,1,9,2005
18534,2,8,1985
11641,1,3,1989
97336,2,1,1991
34495,2,1,1991
88499,2,1,1986
76864,2,12,1989
21378,2,10,1986
66475,2,7,1992
28298,1,8,2001
26820,1,3,1984
91020,1,6,1985
98988,2,10,1989
46521,2,8,1981
40023,1,7,1985
89941,2,5,1978
77126,1,12,1980
60151,1,9,1984
62751,1,4,1986
40330,2,4,1980
51274,1,2,1977
16974,1,7,1981
71603,1,12,1980
69744,1,6,1986
11314,1,8,1992
55833,1,8,1980
83456,2,11,1984
66751,2,5,1976
67262,2,3,1979
65605,2,7,1985
34117,2,5,1987
94397,2,10,1992
38952,1,2,1980
29436,2,4,1983
53891,1,5,1986
40268,1,5,1987
39369,2,8,1988
15447,1,9,1980
37967,2,2,1982
79037,2,5,1986
30056,1,1,1989
62270,1,7,1985
89234,1,4,1988
83038,1,7,1982
48383,1,2,1989
99280,2,1,1994
79680,2,5,1985
84473,2,5,1985
87313,2,10,1989
80090,1,4,1991
11672,1,1,1984
57860,1,10,1987
99972,1,3,1978
63878,1,12,1980
36873,2,8,1987
45950,1,6,1983
65890,1,5,1992
88865,2,5,1992
40135,1,3,1980
95859,1,1,2001
65871,1,10,1987
86840,1,7,1990
43618,1,7,1989
37722,2,12,1994
47819,2,7,1978
12031,2,5,1981
48327,2,12,1990
82415,2,6,1983
80605,1,10,1984
26103,2,9,1990
93493,2,12,1992
66356,1,11,2001
35723,1,6,1980
32676,1,2,1994
45399,2,2,1983
27166,1,7,1977
93824,2,8,1982
68987,2,5,1993
15379,1,4,1996
55066,1,9,1979
21146,1,11,1983
46518,1,12,1993
42033,1,5,1982
59858,1,3,1986
79074,1,3,1987
72162,1,5,1988
24231,1,3,1991
46524,2,12,1979
84198,1,9,1987
22289,2,7,1989
48761,1,8,1993
47919,1,11,1980
71762,2,5,1983
14263,2,3,1985
16987,1,12,1986
41323,1,12,1986
70519,2,10,1988
40690,1,5,1981
51359,2,7,1987
24439,2,12,1986
56493,1,7,1998
58665,2,11,1981
53513,1,1,1991
21990,2,12,1982
29378,1,6,1985
30730,1,5,1989
35631,2,8,1997
48639,2,9,1981
86351,2,6,1984
86398,1,12,1987
19602,2,3,1981
30484,1,4,1987
61278,2,12,1989
87865,2,5,1996
55330,2,9,1998
88469,2,5,2001
14924,1,1,1986
10913,2,11,1987
36665,1,7,1994
13842,2,3,1989
50762,2,4,1993
37625,2,10,1985
24737,1,10,1987
98473,2,5,1990
35445,1,2,1993
64934,1,8,1982
35412,1,5,1985
54637,1,5,1990
36286,1,7,1994
81731,1,12,1996
44687,2,12,1993
90790,2,4,1990
93175,1,12,1991
13372,2,4,1988
82705,1,2,1993
25519,2,12,1979
53814,2,6,1984
36055,2,3,1987
23218,2,2,1992
55090,2,11,1998
79971,2,12,1983
66312,2,7,1988
62032,2,2,1992
