CPUBID,year,piat_math,piat_recog,piat_comp
22460,1992,87,82,NA
45027,2000,125,103,92
50222,2004,92,74,82
85463,2004,114,104,87
12249,2004,89,88,65
63727,1998,108,118,103
67144,1998,95,92,91
70312,1996,74,98,120
52681,1996,87,102,104
40023,1992,78,89,NA
63323,1994,93,88,88
35561,1994,105,95,98
40686,2002,90,109,99
54092,2006,89,100,84
90695,2008,92,113,109
16630,1992,84,107,102
62228,2006,105,74,74
47000,2000,126,111,119
42945,2004,75,82,82
97323,2000,101,83,89
10713,2000,110,100,85
45714,2002,100,107,111
14264,1996,65,65,NA
36714,1992,118,125,111
19271,2000,93,112,105
64364,1996,104,92,78
75588,2002,120,108,117
74377,1998,121,88,97
63684,1998,95,88,102
25429,1996,101,113,110
70553,1998,101,80,NA
75179,1998,106,114,123
44036,1992,89,89,82
29861,1994,135,135,126
54634,2000,100,118,107
92899,2000,86,98,92
89693,2006,99,116,88
67966,2008,116,120,102
67975,2010,135,120,122
81703,2006,95,135,99
56966,1996,74,81,82
64810,1992,96,100,NA
81762,1994,101,107,101
12487,1992,96,95,NA
92214,2008,94,111,105
46518,2002,109,112,107
34680,1992,94,102,86
22724,2010,131,123,107
69981,1992,81,90,85
39550,1992,102,101,101
11514,2008,96,125,111
91701,1996,105,105,109
53829,2002,93,77,74
64247,2000,109,105,80
99280,2006,74,89,91
88724,1996,126,119,125
37989,2014,84,109,93
99608,1996,113,69,NA
45290,2000,97,65,65
69572,2010,118,105,107
93580,1994,95,89,90
39058,2006,72,65,65
62582,1996,118,126,128
48611,1994,121,107,111
68645,1992,118,116,109
58681,2006,135,116,100
22387,1992,120,123,126
31174,2002,81,65,NA
37814,1996,99,91,94
55365,1992,101,98,114
56181,1996,103,106,113
88799,1992,99,100,84
72709,2006,131,135,131
60754,2002,79,100,100
85036,1998,107,99,100
27654,2000,118,135,123
57536,1996,135,128,117
47743,1996,100,126,116
11209,1992,95,100,112
27240,1992,99,77,NA
47755,2010,99,103,94
11762,2002,89,96,90
59420,2000,72,95,108
61000,1996,98,103,108
87164,1998,80,103,NA
69392,2006,135,111,118
82542,1996,101,87,101
86285,1992,96,105,107
68165,1994,90,112,113
39305,1998,108,77,80
14813,2002,90,97,100
45875,2002,75,82,82
17947,1996,94,105,98
72492,2004,111,107,106
27149,1992,105,115,113
32650,2000,72,89,69
26841,2002,106,135,NA
89134,2010,106,105,NA
44978,1992,105,114,113
27335,1996,98,103,88
18397,2002,90,108,98
97563,1994,105,102,98
93362,2004,110,120,109
35305,2000,117,100,110
92602,1996,120,126,125
51401,1994,118,135,126
89773,2002,112,109,114
37050,2000,108,105,110
27233,2006,100,110,65
35836,2002,117,116,113
86005,2010,121,119,108
69989,1992,97,99,95
59925,1992,86,112,109
18280,1996,98,92,88
66586,1992,112,96,93
10806,2008,108,108,102
21034,1996,91,90,91
95604,1992,100,102,93
67667,1992,77,95,82
65185,1992,107,126,131
37779,2002,90,119,113
92590,2004,118,104,98
39263,2004,100,107,102
23290,2002,99,102,96
27880,2004,86,104,92
57439,1994,102,113,111
81864,2004,91,105,NA
61625,1994,101,135,NA
63727,2002,112,107,95
36912,1996,113,110,NA
12687,2008,118,118,114
37109,2002,89,91,87
18787,2000,107,118,111
97915,1994,108,106,108
42492,1998,107,109,110
38561,1996,99,110,113
86376,1996,112,101,95
61897,2006,105,109,105
91000,2010,106,103,104
30843,1996,106,114,NA
70786,2002,123,110,110
46237,2008,117,114,87
77334,2008,126,110,117
89716,2000,110,105,96
69095,1998,NA,72,65
10451,2000,75,83,65
45374,1992,98,106,107
58476,2002,108,121,107
23866,1994,99,102,104
36824,2008,119,105,105
10442,2010,83,102,NA
99596,2004,125,98,105
40955,1996,108,109,113
66680,1994,96,78,NA
89154,1994,101,135,NA
90356,1994,93,114,89
43214,1996,122,115,110
82854,1994,107,94,95
62579,1996,78,79,78
93852,2000,86,92,87
66583,2014,88,105,113
64930,1998,135,107,123
38436,2006,77,65,77
90924,1996,99,100,94
88204,1998,110,99,NA
79806,1998,106,104,102
23003,1994,105,122,112
22477,2010,112,118,99
61800,1992,88,101,101
33070,1996,77,69,72
26351,1992,98,81,92
57797,1996,135,135,102
10930,1998,110,91,93
52217,1998,120,126,NA
47242,2002,97,106,98
23127,2000,98,111,100
71909,2006,97,88,84
69549,1998,105,113,119
25133,1992,93,100,96
33461,1992,82,88,NA
47190,2000,100,106,95
26180,2006,106,84,96
34356,1998,92,122,107
76926,2002,93,97,82
12404,1992,117,116,112
83605,2000,103,91,NA
NA,2006,116,119,120
12087,2008,92,77,69
89038,2008,116,117,125
47249,2004,121,101,121
60306,1998,128,95,114
72119,1994,113,119,112
97857,1992,118,109,NA
68885,1994,82,69,69
36865,1994,84,100,97
80358,1996,107,112,102
17969,2000,92,95,86
42077,1994,131,126,120
21688,2000,128,125,123
74621,1996,115,123,NA
21517,1994,108,95,NA
38543,1992,99,104,95
60191,1994,108,105,106
11165,2002,72,77,81
89134,2006,113,114,102
70019,1996,126,NA,NA
71441,1992,97,108,90
27363,2010,122,113,100
NA,2006,102,103,82
96397,1994,121,111,104
84021,1996,69,75,NA
44684,2010,118,103,110
92111,2004,86,77,72
82732,2006,84,104,104
43131,2002,125,131,NA
27380,1998,91,103,NA
71467,1994,106,114,109
36054,1996,109,126,104
68954,2000,126,131,116
50243,2004,118,115,117
57377,1994,89,99,91
51510,1996,122,131,116
16324,1994,109,112,119
45382,1992,107,97,100
54634,1992,105,NA,NA
89277,1996,84,95,96
87536,2006,98,88,90
36632,1992,77,65,NA
80713,1998,107,116,113
51027,1994,96,75,79
60008,1992,79,93,96
97894,1992,87,101,99
54179,1996,84,72,69
31422,2002,99,93,106
20124,2000,98,128,116
76616,1992,112,123,117
63452,1994,95,87,79
88393,1992,93,82,86
76730,1996,96,94,96
76584,1994,119,107,102
23351,1994,116,102,NA
34965,1994,95,94,95
80564,2008,98,110,104
96510,2004,120,125,113
61084,2006,97,101,97
16129,1996,105,97,102
89682,2004,87,114,93
63264,2010,108,NA,87
50439,1996,65,65,65
83298,2002,90,85,NA
68987,1998,93,99,NA
95764,1996,85,87,95
34025,2008,109,111,NA
53753,1996,118,95,93
10925,1992,111,115,118
86309,1996,95,95,NA
68031,2000,135,128,116
67124,1994,111,112,103
30241,1996,106,121,NA
29034,2014,135,NA,81
80610,1996,118,112,122
38071,1996,88,116,114
36891,1992,128,125,125
13470,2004,102,88,89
10911,1998,98,115,125
70826,2002,128,105,109
78803,2004,95,105,105
81111,1996,90,100,86
68476,2002,104,101,103
54378,1992,120,106,NA
50987,1998,116,117,114
87981,1992,108,95,90
86232,1994,95,115,118
23969,2004,105,118,91
55755,2002,123,119,115
52253,2004,122,135,120
22245,2010,107,121,111
86109,2008,123,105,103
53268,1996,102,125,108
10568,1994,102,109,99
51342,2000,116,77,102
96221,1996,107,114,110
NA,2010,93,88,85
30830,1992,72,77,74
68300,2000,75,102,91
57394,2008,99,89,82
71032,2012,135,135,97
97604,1992,100,103,106
47431,1992,103,116,101
44250,1994,91,86,89
15314,1992,93,74,85
57217,2004,103,105,NA
83687,2004,107,126,112
94930,2008,96,97,87
52076,1998,103,100,96
15334,1996,116,119,113
37980,2000,118,126,125
30933,1994,82,77,NA
51966,1992,98,114,117
45538,2008,103,112,112
91049,2000,110,105,102
22317,1998,96,116,105
42972,2002,114,122,110
43164,1998,100,100,97
85935,2002,84,118,87
34685,1994,93,102,85
27447,1992,104,102,86
68239,2014,99,105,97
94745,2004,91,97,101
67595,1994,101,80,84
45206,1998,89,119,119
29258,1992,117,111,107
62231,2004,100,106,93
59585,2000,109,114,112
33088,2004,102,93,121
40630,1996,98,93,96
96834,1996,87,104,103
68195,1996,98,89,85
64231,1992,103,84,87
81532,1994,121,119,115
91020,1992,94,88,NA
NA,2002,69,86,69
87257,2004,123,131,99
52882,2002,65,65,NA
25080,2006,94,87,78
19647,1992,112,113,114
64184,1996,108,112,106
55728,2008,123,114,109
81039,1994,85,105,89
86276,1998,89,97,101
56211,1992,110,105,NA
70895,2000,108,108,120
57345,1996,97,110,87
57488,1992,101,108,93
57509,1994,93,135,NA
89574,2008,119,109,99
69480,2004,107,102,105
26893,1992,108,NA,109
52672,1992,119,101,NA
30868,2000,99,97,84
29025,1998,93,92,NA
60809,2010,135,121,121
71704,1996,92,97,100
35505,1994,107,122,116
59538,2000,65,121,NA
47858,1996,116,95,106
75406,2000,96,99,80
